"ID","Birth date...2","Development Treatment","Calan Treatment","Pen #","Initial BW","Final BW","DMI","ADG","Gest Length","Calved First 21 Days","1st Calf BW","Calving Ease","Calf Vigor","Birth date...15","Sire","SEX","Final Calf BW","HCW","REA","YG","BF"
600,"16-Mar","range","DDG",4,"947","1152","23.35","2.11","275","1","71","1","1","2/23/2018","2213","STR","1219","768","12.295","4.11","0.906"
600,"5-Mar","stalks","CON",4,"1004","1190","24.35","1.91","275","1","75","2","1","2/24/2018","1104","HFR","1329","837","12.212","5.63","1.41"
600,"17-Mar","stalks","MET",4,"1038","1188","22.21","1.55","275","1","68","1","1","2/24/2018","1104","HFR","1230","775","13.043","3.36","0.67"
600,"12-Mar","stalks","CON",4,"961","1009","20.25","0.5","279","1","67","1","1","2/28/2018","2213","HFR","1156","728","11.912","3.78","0.755"
600,"22-Feb","range","DDG",4,"999","1151","23.79","1.57","271","1","72","1","2","2/20/2018","1616","STR","1270","800","12.261","3.24","0.5"
600,"21-Mar","drylot","DDG",4,"1020","1247","25.12","2.34","275","1","61","1","1","2/24/2018","2213","STR","1294","815","12.657","4.13","0.857"
600,"2-Mar","stalks","CON",4,"1014","1117","20.81","1.06",".",".",".",".",".",".",".",".",".",".",".",".","."
600,"25-Mar","stalks","DDG",4,"1000","1229","24.67","2.36","274","1","65","1","1","2/23/2018","1104","STR","1349","850","14.387","3.14","0.641"
600,"18-Mar","range","MET",4,"985","1198","23.29","2.19","273","1","80","2","1","2/22/2018","2213","STR","1357","855","15.388","2.13","0.39"
600,"21-Mar","drylot","CON",4,"1078","1216","25.21","1.42","271","1","64","1","3","2/20/2018","2213","STR","1229","774","14.942","2.09","0.421"
600,"26-Mar","range","MET",4,"998","1218","25.08","2.26","278","1","86","3","2","2/27/2018","1104","STR","1294","815","11.726","3.86","0.633"
600,"19-Mar","drylot","CON",4,"956","1139","25.49","1.88","278","1","61","1","1","2/26/2018","1616","HFR","1087","685","12.565","3.56","0.794"
600,"25-Feb","drylot","CON",4,"911","1093","21.41","1.88","274","1","70","2","1","2/23/2018","2213","HFR","1295","816","14.105","3.38","0.753"
600,"27-Feb","range","MET",4,"1002","1239","23.95","2.44","277","1","76","1","1","2/26/2018","1616","STR","1244","784","12.033","3.41","0.552"
600,"10-Mar","drylot","MET",4,"997","1222","21.85","2.32","271","1","71","1","3","2/20/2018","2213","HFR","1179","743","12.958","3.36","0.715"
600,"24-Mar","range","MET",4,"974","1181","24.44","2.13","274","1","60","1","1","2/23/2018","1104","HFR","1038","654","10.812","3.35","0.56"
600,"12-Mar","stalks","MET",4,"1038","1187","24.05","1.54","271","1","62","1","1","2/20/2018","2213","HFR","1192","751","12.987","2.94","0.534"
600,"28-Feb","drylot","DDG",4,"1034","1242","24.59","2.14","276","1","78","1","2","2/25/2018","2213","STR","1356","854","13.627","3.24","0.577"
600,"24-Feb","range","CON",4,"985","1133","24.85","1.53","296","0","80","1","1","3/16/2018","1104","STR","1237","779","11.169","3.99","0.678"
600,"25-Feb","drylot","CON",4,"1105","1216","22.89","1.14","273","1","81","1","3","2/22/2018","2213","HFR","1257","792","13.886","3.41","0.774"
600,"25-Mar","stalks","MET",4,"1010","1238","24.57","2.35","281","1","66","1","1","3/1/2018","2213","STR","1175","740","12.741","3.35","0.67"
600,"28-Feb","range","DDG",4,"989","1172","23.84","1.88","278","1","66","1","1","2/26/2018","1616","STR",".",".",".",".","."
600,"10-Mar","stalks","CON",4,"952","1026","21.34","0.76","270","1","59","1","2","2/20/2018","1104","HFR","1133","714","12.412","3.14","0.584"
600,"4-Mar","stalks","DDG",4,"974","1184","22.93","2.17","280","1","64","1","1","3/1/2018","1104","STR","1329","837","13.622","2.69","0.404"
600,"15-Feb","drylot","MET",4,"1035","1243","22.12","2.14","280","1","90","1","1","3/1/2018","2213","STR","1357","855","12.521","3.42","0.527"
600,"21-Feb","range","DDG",4,"1052","1289","26.48","2.44","274","1","65","1","3","2/24/2018","1616","STR","1283","808","12.883","3.61","0.712"
600,"25-Apr","drylot","DDG",4,"988","1170","24.88","1.87","270","1","51","1","3","2/19/2018","1104","HFR","932","587","10.587","3.43","0.603"
600,"15-Mar","stalks","MET",4,"972","1086","23.05","1.17",".",".",".",".",".",".",".",".",".",".",".",".","."
